# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,country,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120502,BO,1,3,1,5,3,0,0,0
20120502,BN,0,4,0,8,3,0,0,0
20120502,BH,0,2,0,3,2,0,0,0
20120502,BG,0,3,0,16,3,0,0,0
20120502,BE,0,29,0,81,27,1,1,0
20120502,BD,0,1,0,1,1,0,0,0
20120502,BA,0,1,0,4,1,0,0,0
20120502,AZ,0,1,0,7,1,0,0,0
20120502,AU,1,103,1,212,96,2,1,0
20120502,AT,0,32,0,95,31,0,0,0
20120502,AR,1,21,1,59,20,0,0,0
20120502,AM,0,1,0,4,1,0,0,0
20120502,AE,0,9,0,19,9,0,0,0
20120501,unknown,0,0,0,11,0,0,0,0
20120501,ZZ,0,2,0,4,2,0,0,0
20120501,ZW,0,0,0,1,0,0,0,0
20120501,ZM,0,0,0,1,0,0,0,0
20120501,ZA,1,41,1,92,40,0,0,0
20120501,VN,0,3,0,11,3,0,0,0
20120501,VE,1,11,1,19,11,1,1,0
20120501,UZ,1,2,1,4,2,0,0,0
20120501,UY,0,1,0,4,1,0,0,0
20120501,US,23,1794,21,4817,1722,14,14,0
20120501,UA,0,23,0,63,22,0,0,0
20120501,TW,0,30,0,56,29,0,0,0
20120501,TT,0,1,0,1,1,0,0,0
20120501,TR,0,43,0,100,40,0,0,0
20120501,TN,0,4,0,8,4,0,0,0
20120501,TH,1,24,1,42,24,1,1,0
20120501,SZ,0,0,0,1,0,0,0,0
20120501,SV,0,0,0,2,0,0,0,0
20120501,SR,0,0,0,3,0,0,0,0
20120501,SK,0,15,0,36,15,0,0,0
20120501,SI,0,7,0,22,7,1,1,0
20120501,SG,1,25,1,100,25,0,0,0
20120501,SE,0,73,0,160,71,0,0,0
20120501,SA,1,25,1,76,25,1,1,0
20120501,RU,2,99,1,285,98,2,2,0
20120501,RS,1,13,1,34,13,0,0,0
20120501,RO,1,25,1,91,23,0,0,0
20120501,RE,0,2,0,5,2,0,0,0
20120501,QA,0,4,0,7,4,0,0,0
20120501,PY,0,2,0,5,2,0,0,0
20120501,PT,1,30,1,55,30,1,1,0
20120501,PR,0,9,0,16,8,0,0,0
20120501,PL,1,55,1,171,53,1,1,0
20120501,PK,1,4,1,8,4,1,1,0
20120501,PH,0,19,0,64,19,0,0,0
20120501,PF,0,0,0,1,0,0,0,0
20120501,PE,0,12,0,16,12,0,0,0
20120501,PA,0,5,0,9,5,0,0,0
20120501,OM,0,4,0,6,3,0,0,0
20120501,NZ,0,26,0,51,25,1,1,0
20120501,NP,0,1,0,3,1,0,0,0
20120501,NO,2,37,2,72,36,1,1,0
20120501,NL,0,73,0,184,71,0,0,0
20120501,NC,0,2,0,2,2,0,0,0
20120501,NA,0,0,0,1,0,0,0,0
20120501,MY,1,24,1,86,24,0,0,0
20120501,MX,0,46,0,110,45,0,0,0
20120501,MV,0,0,0,2,0,0,0,0
20120501,MU,0,2,0,2,2,0,0,0
20120501,MT,0,1,0,5,1,0,0,0
20120501,MQ,0,0,0,1,0,0,0,0
20120501,MO,0,2,0,3,2,0,0,0
20120501,MN,0,4,0,5,4,0,0,0
20120501,MK,0,1,0,6,1,0,0,0
20120501,MG,0,0,0,1,0,0,0,0
20120501,ME,0,1,0,3,1,0,0,0
20120501,MD,0,2,0,5,2,0,0,0
20120501,MA,0,6,0,20,6,0,0,0
20120501,LY,0,0,0,2,0,0,0,0
20120501,LV,0,4,0,18,4,0,0,0
20120501,LU,0,2,0,4,2,0,0,0
20120501,LT,0,7,0,14,7,0,0,0
20120501,LK,0,1,0,2,1,0,0,0
20120501,LB,0,5,0,15,5,0,0,0
20120501,KZ,0,3,0,7,3,0,0,0
20120501,KW,0,8,0,19,8,0,0,0
20120501,KR,2,38,2,122,37,0,0,0
