# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120503,ar_SA,0,0,0,1,0,0,0,0
20120503,ar_QA,0,1,0,1,1,0,0,0
20120503,ar_EG,0,0,0,4,0,0,0,0
20120503,ar_AE,1,20,1,56,18,0,0,0
20120503,,0,1,0,3,1,0,0,0
20120502,zh_TW,1,40,1,70,40,0,0,0
20120502,zh_HK,0,7,0,16,7,0,0,0
20120502,zh_CN,0,14,0,43,14,0,0,0
20120502,vi_VN,0,1,0,5,1,0,0,0
20120502,unknown,0,0,0,12,0,0,0,0
20120502,uk_UA,0,2,0,6,2,0,0,0
20120502,tr_TR,0,30,0,80,27,0,0,0
20120502,th_TH,0,15,0,27,15,1,1,0
20120502,sv_SE,0,50,0,119,48,1,1,0
20120502,sv_GB,0,1,0,1,1,0,0,0
20120502,sv,1,0,1,1,0,1,1,0
20120502,sr_RS,0,2,0,9,2,0,0,0
20120502,sr_CS,0,0,0,2,0,0,0,0
20120502,sl_SL,0,0,0,1,0,0,0,0
20120502,sl_SI,0,4,0,15,4,0,0,0
20120502,sl,0,0,0,1,0,0,0,0
20120502,sk_SK,0,11,0,27,11,0,0,0
20120502,sk,0,0,0,1,0,0,0,0
20120502,ru_UA,0,4,0,10,4,0,0,0
20120502,ru_SK,0,1,0,1,1,0,0,0
20120502,ru_RU,3,124,3,359,123,3,3,0
20120502,ru_PL,0,1,0,1,1,0,0,0
20120502,ru_CZ,0,1,0,1,1,0,0,0
20120502,ru,0,1,0,3,1,0,0,0
20120502,ro_RO,0,11,0,36,11,0,0,0
20120502,pt_PT,0,29,0,58,29,0,0,0
20120502,pt_BR,4,131,3,354,128,1,0,0
20120502,pl_PL,0,53,0,166,51,1,1,0
20120502,pl_IE,0,1,0,1,1,0,0,0
20120502,pl_GB,0,1,0,1,1,0,0,0
20120502,no_NO,0,4,0,7,4,0,0,0
20120502,nl_NL,2,57,1,148,56,1,1,0
20120502,nl_FR,0,0,0,2,0,0,0,0
20120502,nl_BE,0,5,0,12,5,0,0,0
20120502,nl,0,0,0,1,0,0,0,0
20120502,nb_NO,0,27,0,52,26,0,0,0
20120502,nb_NB,0,1,0,1,1,0,0,0
20120502,ms_MY,0,0,0,1,0,0,0,0
20120502,mk_MK,0,0,0,1,0,0,0,0
20120502,md_US,0,5,0,19,5,0,0,0
20120502,lv_LV,0,2,0,8,2,0,0,0
20120502,lt_LT,0,2,0,7,2,0,0,0
20120502,ko_KR,1,39,1,115,38,1,1,0
20120502,ko,0,0,0,1,0,0,0,0
20120502,ja_JP,3,55,2,101,51,1,1,0
20120502,ja,0,1,0,1,1,0,0,0
20120502,iw_IL,0,5,0,11,5,0,0,0
20120502,it_IT,4,152,4,386,145,1,1,0
20120502,it_FR,0,0,0,1,0,0,0,0
20120502,it_DE,0,0,0,1,0,0,0,0
20120502,it_CH,0,1,0,1,1,0,0,0
20120502,is_IS,0,1,0,1,1,0,0,0
20120502,in_ID,0,6,0,14,6,0,0,0
20120502,id_ID,0,1,0,2,1,0,0,0
20120502,hu_HU,0,23,0,72,23,0,0,0
20120502,hr_HR,0,3,0,12,3,0,0,0
20120502,he_IL,0,11,0,24,11,0,0,0
20120502,hd_US,0,1,0,5,1,0,0,0
20120502,gl_ES,0,0,0,1,0,0,0,0
20120502,fr_NL,0,0,0,1,0,0,0,0
20120502,fr_LU,0,0,0,2,0,0,0,0
20120502,fr_IT,0,1,0,1,1,0,0,0
20120502,fr_FR,4,339,3,762,322,0,0,0
20120502,fr_CH,0,17,0,29,17,0,0,0
20120502,fr_CA,1,8,1,19,8,0,0,0
20120502,fr_BE,0,3,0,10,2,1,1,0
20120502,fi_FI,0,15,0,35,15,1,1,0
20120502,et_EE,0,3,0,5,3,0,0,0
20120502,es_VE,0,0,0,2,0,0,0,0
20120502,es_US,4,74,3,163,73,0,0,0
20120502,es_PE,0,0,0,1,0,0,0,0
20120502,es_MX,0,9,0,34,9,0,0,0
20120502,es_GT,0,0,0,1,0,0,0,0
20120502,es_ES,0,199,0,420,193,1,1,0
20120502,es_DE,0,1,0,1,1,0,0,0
20120502,es_CR,0,0,0,4,0,0,0,0
20120502,es_CO,0,0,0,5,0,0,0,0
20120502,es_CL,0,1,0,9,1,0,0,0
20120502,es_BO,0,0,0,1,0,0,0,0
20120502,es_AR,0,3,0,10,3,0,0,0
20120502,es,0,0,0,1,0,0,0,0
20120502,en_ZA,0,9,0,23,9,0,0,0
20120502,en_US,42,2208,39,5677,2120,18,17,0
20120502,en_UA,0,0,0,1,0,0,0,0
20120502,en_TW,0,0,0,2,0,0,0,0
20120502,en_TR,0,2,0,2,2,0,0,0
20120502,en_TH,0,0,0,2,0,0,0,0
20120502,en_SK,0,1,0,2,1,0,0,0
20120502,en_SG,1,8,1,36,8,1,1,0
20120502,en_SE,0,3,0,4,3,0,0,0
20120502,en_RU,0,0,0,1,0,0,0,0
20120502,en_RO,0,0,0,5,0,0,0,0
20120502,en_QA,0,0,0,1,0,0,0,0
20120502,en_PL,0,2,0,2,2,0,0,0
20120502,en_PH,1,12,1,30,12,0,0,0
