# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,cosmo_VDF-XXX,0,1,0,1,1,0,0,0
20120505,cosmo_EUR-XXX,0,4,0,13,4,0,0,0
20120505,cosmo_450-05,0,0,0,1,0,0,0,0
20120505,cosmo_302-720,0,0,0,1,0,0,0,0
20120505,cooper,0,4,0,8,4,0,0,0
20120505,HTC Chacha,0,2,0,16,2,1,1,0
20120505,ch2,0,0,0,1,0,0,0,0
20120505,Motorola Droid Pro,0,3,0,4,3,0,0,0
20120505,Motorola Droid Bionic,0,36,0,68,36,0,0,0
20120505,Motorola Droid RAZR,0,43,0,78,43,0,0,0
20120505,Motorola Droid 3,0,20,0,40,20,0,0,0
20120505,Motorola Droid X,0,47,0,144,42,0,0,0
20120505,cdma_maserati,0,8,0,11,8,0,0,0
20120505,Motorola Droid II,0,10,0,26,10,0,0,0
20120505,Motorola Droid II,0,14,0,32,14,0,0,0
20120505,cayman,0,1,0,5,1,0,0,0
20120505,captivatemtd,0,3,0,5,3,0,0,0
20120505,camden,0,1,0,4,1,0,0,0
20120505,c4,0,0,0,2,0,0,0,0
20120505,LGE Bryce,0,8,0,18,8,0,0,0
20120505,HTC Desire,0,1,0,12,1,0,0,0
20120505,HTC Desire,1,42,1,164,41,1,1,0
20120505,bproj_sea-xxx,0,0,0,1,0,0,0,0
20120505,bproj_EUR-XXX,0,1,0,4,1,0,0,0
20120505,bproj_CIS-xxx,0,1,0,2,1,0,0,0
20120505,bproj_BAL-xxx,0,0,0,1,0,0,0,0
20120505,bproj_334-020,0,1,0,2,1,0,0,0
20120505,bproj_262-XXX,0,2,0,3,2,0,0,0
20120505,bproj_226-10,0,0,0,1,0,0,0,0
20120505,bproj_214-03,0,0,0,2,0,0,0,0
20120505,blissc,0,1,0,7,1,0,0,0
20120505,bliss,0,2,0,3,2,0,0,0
20120505,Dell Blaze,0,0,0,26,0,0,0,0
20120505,blade2,0,0,0,3,0,0,0,0
20120505,ZTE Blade,0,9,0,38,9,0,0,0
20120505,bird73_gb,0,1,0,4,1,0,0,0
20120505,betelgeuse,0,2,0,2,2,0,0,0
20120505,b602ref,0,0,0,1,0,0,0,0
20120505,b10ref,0,0,0,1,0,0,0,0
20120505,b04ref,0,0,0,1,0,0,0,0
20120505,b02ref,0,0,0,1,0,0,0,0
20120505,b01ref,0,0,0,8,0,0,0,0
20120505,Pantech AT1,0,1,0,3,1,0,0,0
20120505,as680,0,0,0,1,0,0,0,0
20120505,arthur,1,6,1,12,6,0,0,0
20120505,Samsung Galaxy A,0,0,0,1,0,0,0,0
20120505,alohag,0,0,0,2,0,0,0,0
20120505,LG Ally,0,3,0,16,3,0,0,0
20120505,alessi,0,0,0,2,0,0,0,0
20120505,adam,0,0,0,1,0,0,0,0
20120505,HTC Desire HD,1,148,1,367,143,0,0,0
20120505,acclaim,0,0,0,2,0,0,0,0
20120505,a853,0,0,0,1,0,0,0,0
20120505,a65cu,0,0,0,1,0,0,0,0
20120505,a60id_tel,0,0,0,1,0,0,0,0
20120505,a500,0,0,0,1,0,0,0,0
20120505,Garmin-Asus Nuvifone,0,0,0,1,0,0,0,0
20120505,a4,0,2,0,6,1,0,0,0
20120505,a10,0,0,0,2,0,0,0,0
20120505,Acer Liquid,0,1,0,4,1,0,0,0
20120505,YP-GS1,0,1,0,5,1,0,0,0
20120505,Samsung Galaxy Player,0,1,0,2,1,0,0,0
20120505,Samsung Galaxy Player,0,1,0,0,0,0,0,0
20120505,Samsung Galaxy Player,0,20,0,53,20,0,0,0
20120505,Samsung YP-G50(Non telephony),0,0,0,2,0,0,0,0
